"","Apis mellifera","Ceratina tabescens","Diptera sp4 M_PL_106","Diptera sp5 M_PL_106","Diptera sp6 M_PL_106","Forcipomyia sp1 M_PL_106","Hemipyrellia germana","Hemipyrellia sp1 M_PL_106","Lasioglossum mahense","Lygistorrhina sp1 M_PL_106","Megachile seychellensis","Melanostoma annulipes","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Pachycerina seychellensis","Perissoma aenescens","Rhiparida seychellensis","Rhynchium brunneum","Scaptodrosophila sp1 M_PL_106","Simosyrphus aegyptius","Unidentified sp1 M_PL_106","Unidentified sp2 M_PL_106","Unidentified sp3 M_PL_106","Xylocopa caffra"
"Campnosperma seychellarum",0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Chrysobalanus icaco",17,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0
"Dillenia ferruginea",11,0,0,0,0,0,2,0,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1
"Excoecaria benthiamiana",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gastonia crassa",18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",32,4,0,0,0,0,7,0,36,0,0,1,0,2,0,6,0,0,0,4,0,0,0,0,0
"Psychotria pervillei",25,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,2,7,3,1,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,5,3,2,0
